Open,High,Close,Volume,Quote asset volume,Number of trades,Volume_ETHUSDT,Quote_asset_volume_ETHUSDT,Number_of_trades_BNBUSDT,RSI,ATR,total_trades_coinbase,sell_1000x_high,Tendencia
0.42846894,0.42076609,0.40662933,0.16110776,0.1084309,241686.0,0.07693102,0.20805979,397483.0,40.69604834,2.28358374,36862.0,237.0,Bajista fuerte
0.40674757,0.42698814,0.38590022,0.16435982,0.1106258,278348.0,0.083826,0.22792919,688607.0,38.13572526,2.31904204,40706.0,299.0,Bajista fuerte
0.38582332,0.38537818,0.3193279,0.46299681,0.25943727,599228.0,0.27005253,0.60505417,871503.0,31.32064418,2.47053904,99466.0,414.0,Bajista fuerte
0.31906498,0.32082442,0.29142333,0.62976714,0.29650626,629097.0,0.28668332,0.56614027,1039653.0,28.98265032,2.57907197,107953.0,635.0,Bajista fuerte
0.29136526,0.30215827,0.30218652,0.30137143,0.14709074,338840.0,0.14630121,0.29584462,564987.0,31.11847615,2.49985254,64698.0,438.0,Alcista fuerte
0.3021263,0.29476959,0.28644037,0.54994122,0.241386,535040.0,0.29839271,0.55295396,747043.0,29.71070412,2.53486307,85626.0,675.0,Bajista fuerte
0.28638329,0.29924169,0.29222061,0.2584032,0.12556285,285360.0,0.12658481,0.25274448,496841.0,30.94568553,2.47451571,54453.0,393.0,Alcista fuerte
0.29236165,0.31888003,0.28763628,0.38449813,0.18940669,441587.0,0.20962926,0.43465919,609665.0,30.4881583,2.47990745,67720.0,596.0,Bajista fuerte
0.28757896,0.28699203,0.28843356,0.23958935,0.11381051,265141.0,0.15162207,0.29961923,530658.0,30.68010982,2.39419977,44258.0,349.0,Lateral
0.28837608,0.2883531,0.29281856,0.18704268,0.09129883,230443.0,0.11957687,0.24089626,439977.0,31.79566761,2.30389979,39972.0,332.0,Alcista fuerte
0.29276021,0.29943613,0.30079129,0.11726407,0.06168281,164519.0,0.08917101,0.19288643,342125.0,33.87917231,2.20933552,35261.0,231.0,Alcista fuerte
0.30093063,0.29826949,0.28903151,0.12235473,0.0637468,162024.0,0.06509568,0.14601311,322360.0,32.31128978,2.13724012,32814.0,202.0,Bajista fuerte
0.28897391,0.31013027,0.31334835,0.21289582,0.10452188,266922.0,0.10820723,0.23446271,360853.0,38.63529054,2.16243726,56604.0,371.0,Alcista fuerte
0.31348518,0.3177134,0.31733472,0.20521315,0.10863672,270508.0,0.09291767,0.21693724,333563.0,39.63102678,2.06869174,52186.0,409.0,Alcista leve
0.31727148,0.32899086,0.30118993,0.22557289,0.11905061,334194.0,0.10912299,0.24807402,346326.0,37.01161728,2.06735661,48084.0,375.0,Bajista fuerte
0.30132919,0.29749174,0.30437902,0.1655705,0.08375053,223082.0,0.09712446,0.21547198,300375.0,37.88495957,1.99040257,36380.0,330.0,Alcista leve
0.30411909,0.32801867,0.33547268,0.23436237,0.12290112,275807.0,0.16970623,0.39727018,412637.0,45.77870667,1.97823096,40084.0,488.0,Alcista fuerte
0.33560511,0.36223994,0.35241474,0.2284538,0.13219047,369642.0,0.08360362,0.21663413,526783.0,49.54141467,1.9790716,42545.0,629.0,Alcista fuerte
0.35214523,0.35524013,0.3639752,0.11422384,0.06959448,197998.0,0.05349887,0.14488776,345411.0,51.98968275,1.9198522,28534.0,236.0,Alcista fuerte
0.36390267,0.37021194,0.37274521,0.25807059,0.15308426,367182.0,0.1111461,0.29117397,475365.0,53.82024658,1.87629133,44870.0,573.0,Alcista fuerte
0.37287021,0.37973945,0.35899225,0.27926867,0.16288914,367800.0,0.12787989,0.33369938,608313.0,50.56431319,1.89441338,44134.0,465.0,Bajista fuerte
0.35892071,0.36126774,0.36457316,0.12808515,0.07857085,169292.0,0.08737751,0.23821751,390401.0,51.83761524,1.84409814,31451.0,231.0,Alcista fuerte
0.36469979,0.36593428,0.33607064,0.25723249,0.14779197,328132.0,0.14566078,0.38621419,518995.0,45.40539364,1.8545197,44486.0,408.0,Bajista fuerte
0.33600367,0.33190745,0.30557493,0.24838497,0.13297712,269262.0,0.11309564,0.28976462,438186.0,39.72566901,1.87562544,47362.0,495.0,Bajista fuerte
0.30551404,0.30643593,0.30238584,0.16250055,0.08406805,187030.0,0.07784298,0.19614295,338979.0,39.17380907,1.82522362,34949.0,338.0,Bajista leve
0.30252486,0.30371379,0.30059198,0.1111932,0.05987401,126204.0,0.05163688,0.13499061,267677.0,38.93537745,1.72821966,24185.0,303.0,Bajista leve
0.30073135,0.2972973,0.29999402,0.12237163,0.06370174,146572.0,0.09060365,0.22407273,281617.0,38.81665908,1.67120397,27095.0,214.0,Lateral
0.29993424,0.32432432,0.3290945,0.13223972,0.07251585,175305.0,0.1094368,0.28463994,555199.0,47.24686364,1.67326083,25770.0,224.0,Alcista fuerte
0.32922819,0.32140774,0.32112176,0.13824589,0.07575379,174940.0,0.07328764,0.2000817,376834.0,45.40115296,1.63517077,25218.0,280.0,Bajista fuerte
0.32125705,0.31790784,0.28923083,0.20051781,0.1018117,244846.0,0.12057004,0.30373992,399164.0,38.86149776,1.67623,32251.0,352.0,Bajista fuerte
0.28937247,0.29049193,0.28245401,0.15392617,0.07676227,180630.0,0.12457363,0.29508078,332933.0,37.62137065,1.62864215,28379.0,259.0,Bajista fuerte
0.28239772,0.28310325,0.28285264,0.07856525,0.04152,105340.0,0.06595557,0.15871432,253423.0,37.74721717,1.57516771,20808.0,205.0,Lateral
0.28299556,0.27629788,0.26431604,0.16267057,0.07581749,165504.0,0.09189482,0.20536843,344722.0,34.28360331,1.54837001,30974.0,357.0,Bajista fuerte
0.26426337,0.27377017,0.2497658,0.29285353,0.13026672,273365.0,0.19712793,0.42833086,537899.0,31.81579247,1.55991501,39332.0,460.0,Bajista fuerte
0.24971603,0.25413183,0.25813717,0.21601426,0.09400168,185607.0,0.17773255,0.37461579,395255.0,34.72698029,1.51492108,33145.0,401.0,Alcista fuerte
0.25828501,0.26929808,0.24558012,0.26149551,0.11622223,237953.0,0.12499202,0.27725437,340110.0,32.48638336,1.52099815,31779.0,601.0,Bajista fuerte
0.24553118,0.25452071,0.24936716,0.60335948,0.23507356,466213.0,0.37479711,0.73560723,727590.0,33.87211484,1.60521257,68660.0,984.0,Alcista leve
0.24951675,0.26949251,0.27109286,0.21096408,0.09268497,211521.0,0.17402012,0.38155579,383154.0,41.31395189,1.61484024,30204.0,506.0,Alcista fuerte
0.27123812,0.29399183,0.28663969,0.28730352,0.13763466,309549.0,0.10089198,0.23774583,304302.0,45.99737288,1.61520879,39304.0,459.0,Alcista fuerte
0.28658257,0.2928252,0.27607582,0.25656309,0.12226501,262992.0,0.16583717,0.36808685,354177.0,43.45944952,1.61769388,34070.0,515.0,Bajista fuerte
0.2760208,0.30040832,0.30477766,0.3975073,0.18268842,326935.0,0.18926755,0.42267832,417256.0,51.31866602,1.68000146,43318.0,1161.0,Alcista fuerte
0.30471692,0.30915808,0.30378107,0.3067898,0.15309887,320889.0,0.17248067,0.41808289,680260.0,51.05330612,1.64857278,39826.0,602.0,Bajista leve
0.30391981,0.30332491,0.29820016,0.21587688,0.10899631,236252.0,0.15586612,0.38372459,430117.0,49.50940203,1.59581759,31110.0,419.0,Bajista fuerte
0.29814073,0.291853,0.28644037,0.19386978,0.09559247,199171.0,0.10865775,0.2627196,320905.0,46.33005504,1.54611633,22483.0,324.0,Bajista fuerte
0.28638329,0.27999222,0.26192422,0.21970888,0.10132866,217361.0,0.13948502,0.31081009,366024.0,40.49212837,1.54710802,28571.0,302.0,Bajista fuerte
0.26187202,0.27493681,0.27268741,0.12310234,0.05863385,160982.0,0.05891832,0.13597543,269443.0,43.83801776,1.55231459,20710.0,193.0,Alcista fuerte
0.27263307,0.27085359,0.26591059,0.1339842,0.06353101,158563.0,0.07790958,0.17394877,260216.0,42.22808267,1.51857783,20462.0,282.0,Bajista fuerte
0.2658576,0.26210383,0.25435012,0.18503762,0.08299788,206090.0,0.1574211,0.32772213,394557.0,39.55914683,1.49153656,30071.0,261.0,Bajista fuerte
0.25429944,0.26482598,0.26551195,0.15590227,0.07195874,167546.0,0.14102125,0.2974282,298402.0,43.28623742,1.45428395,21558.0,270.0,Alcista fuerte
0.26545904,0.28057554,0.28325128,0.14101384,0.069217,163035.0,0.14133292,0.31645586,464185.0,48.70049822,1.4368351,23685.0,250.0,Alcista fuerte
