Open_time,Volume,Quote asset volume,Number of trades,Open_BTCUSDT,High_BTCUSDT,Close_BTCUSDT,Open_ETHUSDT,High_ETHUSDT,Low_ETHUSDT,Close_ETHUSDT,Volume_ETHUSDT,Quote_asset_volume_ETHUSDT,Number_of_trades_ETHUSDT,Open_BNBUSDT,High_BNBUSDT,Low_BNBUSDT,Close_BNBUSDT,Volume_BNBUSDT,Quote_asset_volume_BNBUSDT,Number_of_trades_BNBUSDT,SMA_20,EMA_20,Upper_Band,Middle_Band,RSI,ATR,buy_1000x_high_coinbase,sell_1000x_high_coinbase,total_trades_coinbase,Tweets_Utilizados,Cantidad_neg,Cantidad_neu,Tweets_Utilizados_whale_alert,Buy_1000x_high,sell_1000x_high,Tendencia
2021-10-27,0.47113565,0.51824528,1215968.00000000,0.86091264,0.85756857,0.82389659,0.82258462,0.85194451,0.78997372,0.76763314,0.18108605,0.61528211,1872190.00000000,0.61585633,0.60428386,0.55841277,0.55136911,0.29144645,0.40087474,973507.00000000,40.62100000,40.51273578,47.96526279,40.62100000,52.70875530,3.56199381,103.00000000,64.00000000,112155.00000000,137,26.00000000,40.00000000,57.00000000,397.00000000,308.00000000,Bajista
2021-10-28,0.30544766,0.34087070,726484.00000000,0.82389675,0.87660624,0.86568747,0.76763112,0.84877755,0.78506026,0.86310503,0.15916077,0.55172198,1711575.00000000,0.55124836,0.62245781,0.58301929,0.64600219,0.32608511,0.46292300,1074597.00000000,41.04450000,40.63723713,47.59696663,41.04450000,55.51253226,3.54399425,31.00000000,22.00000000,100342.00000000,170,32.00000000,52.00000000,50.00000000,328.00000000,251.00000000,Alcista
2021-10-29,0.22607776,0.26494976,560104.00000000,0.86568783,0.88573598,0.89811254,0.86310276,0.89244732,0.88312071,0.89795297,0.14034053,0.51931909,1799386.00000000,0.64607972,0.70642579,0.67435159,0.73012048,0.30070938,0.45993617,1222937.00000000,41.43800000,40.97654788,47.75160309,41.43800000,59.92534103,3.49013752,64.00000000,74.00000000,85357.00000000,126,17.00000000,43.00000000,134.00000000,251.00000000,261.00000000,Alcista
2021-10-30,0.12737100,0.15713497,339208.00000000,0.89811252,0.87395369,0.89048816,0.89795324,0.88547737,0.87430884,0.87271988,0.07895648,0.30425194,1035476.00000000,0.72996058,0.72133276,0.72445134,0.72573932,0.22895929,0.36482505,1048477.00000000,41.85300000,41.14354332,47.30131387,41.85300000,56.21627514,3.40012769,36.00000000,44.00000000,55452.00000000,110,17.00000000,32.00000000,44.00000000,160.00000000,123.00000000,Bajista
2021-10-31,0.15868251,0.18658179,390771.00000000,0.89048833,0.87482775,0.87967755,0.87272022,0.87626151,0.85660421,0.86341713,0.09931428,0.36962266,1303438.00000000,0.72579939,0.70943315,0.72156950,0.71763417,0.21173816,0.33651521,914156.00000000,42.28500000,41.29844396,46.42949756,42.28500000,56.29554481,3.32511857,63.00000000,17.00000000,78176.00000000,113,15.00000000,46.00000000,47.00000000,162.00000000,139.00000000,Lateral
2021-11-01,0.64303084,0.78847539,2616111.00000000,0.87967791,0.87544348,0.87216584,0.86348830,0.87294675,0.85189428,0.87186750,0.10064966,0.37614005,1134036.00000000,0.71747700,0.74599740,0.72622478,0.77612267,0.26955168,0.43308972,1045678.00000000,43.02550000,42.12525882,47.11224186,43.02550000,67.66088552,3.79261010,76.00000000,83.00000000,176558.00000000,151,26.00000000,57.00000000,78.00000000,491.00000000,861.00000000,Alcista
2021-11-02,0.53433098,0.70850298,1679065.00000000,0.87216620,0.91022113,0.91678658,0.87186784,0.92916561,0.88793763,0.94280132,0.11482188,0.44014451,1657233.00000000,0.77595269,0.77217655,0.78474839,0.78291347,0.24229526,0.40456618,1103251.00000000,43.52400000,43.03332941,49.02505953,43.52400000,69.64191021,3.90313795,61.00000000,67.00000000,179800.00000000,181,22.00000000,75.00000000,100.00000000,513.00000000,414.00000000,Alcista
2021-11-03,0.46210172,0.62671730,1681025.00000000,0.91679797,0.89560596,0.91053452,0.94274639,0.94665516,0.93244580,0.94633148,0.10934896,0.43313978,1580640.00000000,0.78274201,0.78537430,0.78497007,0.81358160,0.26694602,0.44610625,1110367.00000000,44.15550000,44.01491708,50.96384334,44.15550000,71.52069013,4.01505667,44.00000000,46.00000000,150540.00000000,163,21.00000000,64.00000000,94.00000000,401.00000000,443.00000000,Alcista
2021-11-04,0.37422440,0.52812139,1168396.00000000,0.91053489,0.88775382,0.88151755,0.94633163,0.93102620,0.92333385,0.92770237,0.08680303,0.34727077,1019675.00000000,0.81340342,0.78277802,0.79849257,0.79233297,0.21942870,0.37075496,949944.00000000,44.68250000,44.94873450,52.66810173,44.68250000,72.05286625,3.93755262,44.00000000,31.00000000,119018.00000000,164,32.00000000,53.00000000,65.00000000,352.00000000,387.00000000,Lateral
2021-11-05,0.22479960,0.31799250,712132.00000000,0.88151772,0.87844206,0.87266850,0.92769994,0.92136697,0.92821860,0.91246967,0.06926674,0.28340187,893068.00000000,0.79237845,0.88662916,0.82176901,0.89879518,0.43163080,0.76677349,1493105.00000000,45.18300000,45.59742645,53.61307260,45.18300000,66.32474532,3.89701315,11.00000000,13.00000000,90525.00000000,157,22.00000000,54.00000000,82.00000000,272.00000000,172.00000000,Bajista
