Open_time,Volume,Quote asset volume,Number of trades,Quote_asset_volume_ETHUSDT,Number_of_trades_ETHUSDT,Volume_BNBUSDT,Quote_asset_volume_BNBUSDT,Number_of_trades_BNBUSDT,RSI,SlowK,SlowD,total_trades_coinbase,Compound total coin,Buy_1000x_high,sell_1000x_high,Tendencia
2022-01-08,9965873.23,244572660.786,377457.0,1252795163.486269,814600.0,1062788.589,464082732.8109,512468.0,37.39462385,12.77956271,20.00529853,73035.0,32.0504,601.0,541.0,Bajista
2022-01-09,7523995.26,184387901.2226,270529.0,864505480.881738,591523.0,688777.347,299514285.4251,367892.0,39.69800631,10.7886728,13.51570258,55428.0,46.5355,389.0,365.0,Alcista
2022-01-10,11667129.55,276522625.56632,391299.0,1616550523.097201,935157.0,1221504.738,518143646.508,550883.0,37.58078445,13.24768919,12.2719749,64540.0,52.3371,538.0,436.0,Bajista
2022-01-11,9473674.68,235078342.3351,309738.0,1145852583.62298,668961.0,1266092.819,571335667.7927,670993.0,44.07551019,22.59275884,15.54304028,51902.0,48.0911,450.0,509.0,Alcista
2022-01-12,7566219.5,201191355.5696,319932.0,1226038697.472902,737196.0,836124.928,395395226.9867,542753.0,49.48934543,36.67220967,24.1708859,50125.0,33.4264,350.0,356.0,Alcista
2022-01-13,7656681.93,204220516.3949,327157.0,1116293607.687924,666486.0,908052.937,434855256.5301,574157.0,45.37689023,44.89151874,34.71882908,39362.0,32.797,385.0,277.0,Bajista
2022-01-14,9449831.9,254448275.9457,421778.0,931347172.7628808,572125.0,797022.181,383070562.1503,532865.0,50.99487196,53.53057199,45.03143347,48016.0,35.9125,396.0,780.0,Alcista
2022-01-15,5575781.94,153649373.0751,274699.0,675484534.6569489,444485.0,548626.203,270831128.9543,408859.0,50.56624011,54.63510848,51.0190664,34090.0,39.3633,250.0,264.0,Lateral
2022-01-16,7073389.72,197261377.6672,327845.0,701885138.83374,495317.0,507042.332,251862226.2236,389752.0,50.86276562,62.16962525,56.77843524,33176.0,26.1529,445.0,429.0,Lateral
2022-01-17,8233269.46,217042645.2286,326373.0,922568646.923763,646419.0,757806.035,363254557.7459,517026.0,45.0175443,54.51676529,57.10716634,45858.0,26.4713,554.0,303.0,Bajista
2022-01-18,7145666.21,178517774.8907,275151.0,943140782.389924,579484.0,707501.577,330240013.3563,451974.0,43.56890579,45.51257273,54.06632109,39922.0,37.6223,345.0,252.0,Bajista
2022-01-19,6462252.41,157244747.2795,241686.0,1035249881.473593,647383.0,585750.3,272375832.0181,397483.0,40.69604834,33.66401544,44.56445115,36862.0,29.1074,316.0,237.0,Bajista
2022-01-20,6578668.82,160357989.3978,278348.0,1124982397.810134,718946.0,1137854.894,528565003.8169,688607.0,38.13572526,23.53156511,34.23605109,40706.0,34.9382,287.0,299.0,Bajista
2022-01-21,17269209.912,371432669.91895,599228.0,2828122722.883165,1723216.0,1891179.594,780737529.9346,871503.0,31.32064418,14.36821567,23.85459874,99466.0,32.4289,633.0,414.0,Bajista
2022-01-22,23239217.068,424011444.458338,629097.0,2652383041.9991846,1994513.0,2635609.386,949889475.2338,1039653.0,28.98265032,11.11887523,16.339552,107953.0,26.6959,813.0,635.0,Bajista
2022-01-23,11483380.21,212079989.0278,338840.0,1431696375.615066,1053655.0,1297043.923,486432084.5722,564987.0,31.11847615,15.07246377,13.51985155,64698.0,15.9455,433.0,438.0,Alcista
2022-01-24,20381626.573,345828687.90308,535040.0,2592832133.200201,1848889.0,1900214.42,674434639.6883,747043.0,29.71070412,18.62084491,14.93739463,85626.0,33.5847,800.0,675.0,Bajista
2022-01-25,9945213.12,181544754.5088,285360.0,1237051148.4309,946366.0,1006111.155,374436795.3877,496841.0,30.94568553,19.46987239,17.72106036,54453.0,32.7664,385.0,393.0,Alcista
2022-01-26,14459131.31,272101060.8627,441587.0,2058599145.3419724,1384921.0,1073520.172,413788334.1036,609665.0,30.4881583,18.24894515,18.77988748,67720.0,37.8478,680.0,596.0,Lateral
2022-01-27,9271719.1,164875191.1837,265141.0,1448742950.458556,1029204.0,962060.888,358493434.8504,530658.0,30.68010982,18.51265823,18.74382525,44258.0,36.5889,364.0,349.0,Lateral
2022-01-28,7390664.94,132944555.8331,230443.0,1183543182.408244,884305.0,752320.615,290426869.6174,439977.0,31.79566761,18.59177215,18.45112518,39972.0,29.6781,294.0,332.0,Lateral
2022-01-29,4892745.7,90937096.6065,164519.0,966725225.782995,656017.0,534573.782,207593040.2279,342125.0,33.87917231,20.33227848,19.14556962,35261.0,34.2276,214.0,231.0,Alcista
2022-01-30,5074979.97,93864670.2753,162024.0,755039834.5651209,564478.0,536436.123,204652766.3272,322360.0,32.31128978,20.77550656,19.8998524,32814.0,28.2042,277.0,202.0,Bajista
2022-01-31,8316149.9,151700168.2556,266922.0,1154488527.579429,814997.0,620113.734,232898450.6479,360853.0,38.63529054,25.67974575,22.26251026,56604.0,40.0447,385.0,371.0,Alcista
2022-02-01,8041127.34,157536671.6736,270508.0,1075341490.803359,790343.0,555347.277,212697945.1107,333563.0,39.63102678,30.73977751,25.73167661,52186.0,34.6539,442.0,409.0,Lateral
2022-02-02,8769960.78,172307776.6546,334194.0,1215958780.122614,819863.0,572340.04,215596317.4431,346326.0,37.01161728,34.23368605,30.21773644,48084.0,26.741,434.0,375.0,Bajista
2022-02-03,6622008.64,122238026.5908,223082.0,1068724165.6218228,726013.0,495715.227,181299666.3064,300375.0,37.88495957,36.17430084,33.71592147,36380.0,22.3205,317.0,330.0,Lateral
