Open_time,SMA_20,EMA_20,Upper_Band,Middle_Band,Lower_Band,RSI,MACD,Signal,ADX,SlowK,SlowD,CCI,ATR,MFI
2022-05-20,12.07450000,12.01181326,16.67341933,12.07450000,7.47558067,35.96278691,-1.83586220,-1.85304730,37.11113511,31.48368831,33.05600625,-70.48058439,1.54202383,27.10304096
2022-05-21,11.80650000,11.82021200,16.22968562,11.80650000,7.38331438,37.76455288,-1.77327396,-1.83709263,37.46200124,37.18335778,34.20577154,-55.72722429,1.47759356,29.31103760
2022-05-22,11.56650000,11.66209657,15.79585586,11.56650000,7.33714414,38.66562720,-1.69126582,-1.80792727,37.45976298,40.23718835,36.30141148,-23.39038305,1.40562259,32.26609786
2022-05-23,11.32450000,11.49237309,15.35353698,11.32450000,7.29546302,37.63860680,-1.63007692,-1.77235720,36.84346417,45.81051377,41.07701996,-12.11742424,1.37664955,39.55385708
2022-05-24,11.01700000,11.36833755,14.34585626,11.01700000,7.68814374,39.55294003,-1.53883117,-1.72565199,36.44383408,53.21220623,46.41996945,-21.50022193,1.32903172,42.85265360
2022-05-25,10.78150000,11.22563874,13.71127320,10.78150000,7.85172680,38.24773012,-1.47533287,-1.67558817,35.97379563,56.55646281,51.85972760,-27.96443829,1.27481517,49.66990605
2022-05-26,10.52250000,11.02700648,13.04241170,10.52250000,8.00258830,35.37951921,-1.46700420,-1.63387138,36.20688430,45.66583150,51.81150018,-138.94099849,1.26804266,52.90542226
2022-05-27,10.29100000,10.84538681,12.39946769,10.29100000,8.18253231,35.30141232,-1.44535633,-1.59616837,36.58781162,30.22580382,44.14936604,-129.95329912,1.28032533,37.31115598
2022-05-28,10.11100000,10.73154045,11.73798371,10.11100000,8.48401629,39.13608112,-1.36964525,-1.55086374,36.94152984,22.45720040,32.78294524,-90.81783734,1.24958780,31.09787757
2022-05-29,10.07900000,10.65996517,11.68977497,10.07900000,8.46822503,41.46251066,-1.26839417,-1.49436983,36.87578975,31.18041676,27.95447366,-35.00343171,1.21104582,26.79270087
2022-05-30,10.03450000,10.64187325,11.54746365,10.03450000,8.52153635,44.83434036,-1.13552345,-1.42260055,35.68774300,48.44261909,34.02674542,100.38669760,1.18739969,35.44936285
2022-05-31,10.09750000,10.61407580,11.55169222,10.09750000,8.64330778,44.16343048,-1.02805467,-1.34369138,34.58455674,60.32657305,46.64986963,108.94099459,1.15329971,32.71455410
2022-06-01,10.13500000,10.50416382,11.47861453,10.13500000,8.79138547,39.44848012,-1.00313691,-1.27558049,34.17949797,59.15532763,55.97483992,-11.33703019,1.17734973,32.95663010
2022-06-02,10.10650000,10.44567202,11.44550373,10.10650000,8.76749627,42.63505437,-0.93788070,-1.20804053,33.80337197,56.04531564,58.50907210,-22.60019043,1.15325332,34.26456840
2022-06-03,10.01000000,10.34322707,11.26669408,10.01000000,8.75330592,39.90043907,-0.91754742,-1.14994191,33.53745226,45.23809524,53.47957950,-79.83122363,1.12302094,35.27243287
2022-06-04,9.89150000,10.25720544,10.86108290,9.89150000,8.92191710,40.45412120,-0.88557636,-1.09706880,33.34869327,44.94047619,48.74129569,-90.70537306,1.07280516,31.98722961
2022-06-05,9.82750000,10.17080493,10.76199184,9.82750000,8.89300816,39.94458357,-0.85761526,-1.04917809,33.17341706,36.90476190,42.36111111,-76.38176638,1.01831908,30.50143800
2022-06-06,9.75100000,10.10787112,10.50994400,9.75100000,8.99205600,41.35868113,-0.81317148,-1.00197677,32.27386019,39.05148943,40.29890918,-26.76167854,0.98986771,27.12596877
2022-06-07,9.73800000,10.02426435,10.52284648,9.73800000,8.95315352,39.60132555,-0.79142013,-0.95986544,31.98781398,35.97119902,37.30915012,-99.33789450,0.96702002,27.74870902
