Open_time,Open_BTCUSDT,High_BTCUSDT,Low_BTCUSDT,Close_BTCUSDT,Volume_BTCUSDT,Quote_asset_volume_BTCUSDT,Number_of_trades_BTCUSDT,Open_ETHUSDT,High_ETHUSDT,Low_ETHUSDT,Close_ETHUSDT,Volume_ETHUSDT,Quote_asset_volume_ETHUSDT,Number_of_trades_ETHUSDT,Open_BNBUSDT,High_BNBUSDT,Low_BNBUSDT,Close_BNBUSDT,Volume_BNBUSDT,Quote_asset_volume_BNBUSDT,Number_of_trades_BNBUSDT
2023-03-01,23141.57000000,24000.00000000,23020.03000000,23628.97000000,315287.41737000,7441571085.49540830,9390487,1605.24000000,1669.72000000,1595.00000000,1665.22000000,474456.82350000,780632253.60636600,725546,301.50000000,306.40000000,300.50000000,302.70000000,200883.89300000,60900584.06730000,172485
2023-03-02,23629.76000000,23796.93000000,23195.90000000,23465.32000000,239315.45219000,5603770010.23954760,7435815,1665.23000000,1677.86000000,1619.18000000,1647.86000000,423023.80820000,694364877.50440800,644400,302.60000000,303.80000000,295.80000000,299.80000000,200964.84200000,60082927.51130000,167725
2023-03-03,23465.32000000,23476.95000000,21971.13000000,22354.34000000,319954.19785000,7167184765.74364950,8214639,1647.86000000,1649.25000000,1544.39000000,1569.45000000,742816.59760000,1166573996.74423600,1008133,299.80000000,300.00000000,286.60000000,290.40000000,266627.56400000,77375815.20970000,231651
2023-03-04,22354.34000000,22410.00000000,22157.08000000,22346.57000000,121257.38132000,2706422995.68025610,4169260,1569.45000000,1577.53000000,1549.12000000,1566.73000000,237640.26060000,371865636.79445600,442158,290.50000000,291.50000000,285.80000000,289.60000000,127846.86500000,36979790.81000000,127605
2023-03-05,22346.57000000,22662.09000000,22189.22000000,22430.24000000,154841.75786000,3473011455.18795160,4835978,1566.74000000,1588.77000000,1553.05000000,1564.58000000,299240.74150000,469729098.46273800,505034,289.60000000,292.80000000,287.40000000,288.70000000,128456.55900000,37300395.74920000,123618
2023-03-06,22430.24000000,22602.19000000,22258.00000000,22410.00000000,203751.82957000,4569102169.18569090,6471278,1564.57000000,1583.49000000,1554.44000000,1565.84000000,307709.30110000,482146763.96639700,495130,288.80000000,289.70000000,283.30000000,287.80000000,205220.75700000,58782996.21490000,156193
2023-03-07,22409.41000000,22557.91000000,21927.00000000,22197.96000000,292519.80912000,6517594938.24605280,7813394,1565.84000000,1584.49000000,1536.14000000,1561.96000000,437947.90320000,682865640.74441200,601157,287.90000000,290.50000000,283.40000000,289.30000000,200611.35700000,57609359.99660000,167501
2023-03-08,22198.56000000,22287.00000000,21580.00000000,21705.44000000,301460.57272000,6641171704.24242130,8018963,1561.95000000,1570.89000000,1523.61000000,1532.38000000,460101.76580000,714552395.99327900,647197,289.30000000,294.30000000,285.10000000,287.10000000,260938.37400000,75356809.04940000,203992
2023-03-09,21704.37000000,21834.99000000,20042.72000000,20362.22000000,443658.28584000,9403028764.70777380,10076702,1532.38000000,1546.45000000,1408.00000000,1437.32000000,718485.13640000,1072396877.90757800,914935,287.10000000,291.40000000,271.20000000,277.10000000,318996.85100000,90265165.22060000,256816
2023-03-10,20362.21000000,20367.78000000,19549.09000000,20150.69000000,618456.46710000,12344992788.91249570,12106261,1437.32000000,1439.43000000,1368.39000000,1426.44000000,960262.45090000,1353741388.82725900,1155209,277.10000000,278.10000000,265.00000000,277.40000000,404292.97200000,110074568.54160000,282834
2023-03-11,20150.69000000,20686.51000000,19765.03000000,20455.73000000,427831.82133000,8651590672.46852580,10412300,1426.43000000,1478.07000000,1408.40000000,1471.97000000,1374859.62010000,1987926852.34837400,1467256,277.50000000,281.80000000,270.50000000,276.00000000,370350.20700000,102108722.75810000,293358
2023-03-12,20455.73000000,22150.00000000,20270.60000000,21997.11000000,430944.94288000,8982418413.80113910,9721933,1471.93000000,1594.19000000,1448.30000000,1580.33000000,1002355.09290000,1506839740.46965400,1253899,276.00000000,288.80000000,273.20000000,288.10000000,316243.11700000,88260912.97640000,254109
2023-03-13,21998.05000000,24500.00000000,21813.88000000,24113.48000000,687889.31259000,15824996078.60563840,14820760,1580.33000000,1693.49000000,1565.00000000,1673.45000000,1228063.60530000,1992277884.79634100,1671283,288.10000000,314.10000000,286.10000000,307.90000000,991752.46400000,299509993.60580000,567663
2023-03-14,24112.27000000,26386.87000000,23976.42000000,24670.41000000,699360.93423000,17465307097.88407330,15223589,1673.44000000,1780.02000000,1655.24000000,1699.40000000,1283321.23550000,2195733827.91012200,1750035,307.90000000,319.50000000,302.00000000,308.40000000,703702.20800000,218821745.41020000,464036
2023-03-15,24670.41000000,25196.97000000,23896.95000000,24285.66000000,581450.72984000,14291005743.89785140,12613034,1699.41000000,1716.90000000,1611.00000000,1649.96000000,963142.48330000,1602460705.89569500,1388384,308.50000000,312.70000000,300.00000000,306.30000000,413251.77300000,126907786.43020000,356984
2023-03-16,24285.66000000,25167.40000000,24123.00000000,24998.78000000,439421.32998000,10847330151.94100580,10418081,1649.95000000,1691.42000000,1632.18000000,1673.73000000,627985.61190000,1040043241.14028500,1004406,306.30000000,332.80000000,302.80000000,329.40000000,1251303.89000000,401797064.64120000,637265
2023-03-17,24998.78000000,27756.84000000,24890.00000000,27395.13000000,624460.68091000,16476681071.24337980,13113359,1673.73000000,1800.00000000,1662.65000000,1789.27000000,907528.28250000,1569265196.45290500,1293055,329.40000000,340.00000000,325.00000000,338.90000000,726737.46800000,241644682.84380000,450807
2023-03-18,27395.13000000,27724.85000000,26578.00000000,26907.49000000,371238.97174000,10135945069.64262880,9948603,1789.26000000,1841.00000000,1747.47000000,1758.84000000,711614.73100000,1280189359.42454900,1115890,339.00000000,346.30000000,328.00000000,331.00000000,662698.51100000,224183709.73160000,443659
