Open_time,Open_BTCUSDT,High_BTCUSDT,Low_BTCUSDT,Close_BTCUSDT,Volume_BTCUSDT,Quote_asset_volume_BTCUSDT,Number_of_trades_BTCUSDT,Open_ETHUSDT,High_ETHUSDT,Low_ETHUSDT,Close_ETHUSDT,Volume_ETHUSDT,Quote_asset_volume_ETHUSDT,Number_of_trades_ETHUSDT,Open_BNBUSDT,High_BNBUSDT,Low_BNBUSDT,Close_BNBUSDT,Volume_BNBUSDT,Quote_asset_volume_BNBUSDT,Number_of_trades_BNBUSDT
2021-10-05,49224.93000000,51886.30000000,49022.40000000,51471.99000000,52125.66793000,2618101829.01772260,1641651,3386.31000000,3545.00000000,3363.78000000,3515.27000000,393900.88180000,1355905889.61094700,1025512,426.40000000,444.00000000,424.00000000,442.10000000,883699.82800000,385403145.05970000,623411
2021-10-06,51471.99000000,55750.00000000,50382.41000000,55315.00000000,79877.54518100,4236927265.38152227,2443126,3515.48000000,3632.11000000,3342.00000000,3574.89000000,618265.54020000,2172519696.56298500,1444856,442.00000000,442.80000000,414.70000000,434.90000000,1245088.68300000,537791098.80150000,758834
2021-10-07,55315.00000000,55332.31000000,53357.00000000,53785.22000000,54917.37766000,2983143121.08864310,1703147,3574.88000000,3653.98000000,3470.80000000,3587.47000000,486102.35910000,1736906584.27609000,1252503,434.90000000,450.00000000,423.60000000,438.50000000,1159098.74470000,509653579.83040000,736772
2021-10-08,53785.22000000,56100.00000000,53617.61000000,53951.43000000,46160.25785000,2522087625.09407934,1548832,3587.47000000,3695.00000000,3532.00000000,3563.13000000,403597.14370000,1455713871.28828300,1084792,438.50000000,441.60000000,415.70000000,419.20000000,1505999.18800000,644030609.22690000,944084
2021-10-09,53955.67000000,55489.00000000,53661.67000000,54949.72000000,55177.08013000,3024862790.69559250,1609483,3563.13000000,3635.00000000,3538.07000000,3574.82000000,361906.75140000,1299757023.49916300,1175683,419.30000000,426.00000000,416.00000000,421.90000000,632123.52600000,266856749.21730000,455659
2021-10-10,54949.72000000,56561.31000000,54080.00000000,54659.00000000,89237.83612800,4923958325.38987614,2427176,3574.83000000,3604.00000000,3405.00000000,3414.22000000,580223.63020000,2049128230.34425900,1765439,421.90000000,422.30000000,402.00000000,404.10000000,729380.96300000,302884829.94520000,500068
2021-10-11,54659.01000000,57839.04000000,54415.06000000,57471.35000000,52933.16575100,2994673617.72364832,1690409,3414.22000000,3623.80000000,3371.00000000,3542.12000000,493521.88200000,1743391083.65880800,1110340,404.00000000,424.00000000,399.80000000,413.10000000,759924.88400000,314882971.60980000,509680
2021-10-12,57471.35000000,57680.00000000,53879.00000000,55996.93000000,53471.28550000,3017210682.88594980,1554412,3542.12000000,3547.11000000,3403.21000000,3491.46000000,409377.19180000,1425455761.40661800,925699,413.20000000,444.50000000,392.20000000,444.20000000,1966630.18300000,829580710.11620000,953219
2021-10-13,55996.91000000,57777.00000000,54167.19000000,57367.00000000,55808.44492000,3123307687.47730310,1610489,3491.43000000,3613.00000000,3412.70000000,3607.42000000,393463.12220000,1376610269.51640800,902525,444.10000000,471.80000000,432.30000000,470.80000000,3383303.43900000,1542057671.38910000,1576761
2021-10-14,57370.83000000,58532.54000000,56818.05000000,57347.94000000,43053.33678100,2481915791.59123502,1372048,3607.41000000,3824.00000000,3586.04000000,3790.82000000,481894.14730000,1792792932.94418900,1430307,470.70000000,482.80000000,461.20000000,472.70000000,1431305.92500000,676261023.81674400,845772
2021-10-15,57347.94000000,62933.00000000,56850.00000000,61672.42000000,82512.90802200,4959389368.72673282,2649137,3790.82000000,3907.77000000,3734.10000000,3868.99000000,504321.73200000,1924965953.85849900,1399937,472.70000000,478.00000000,450.80000000,474.50000000,1508188.78700000,702474058.15540000,882619
2021-10-16,61672.42000000,62378.42000000,60150.00000000,60875.57000000,35467.88096000,2173374058.80891070,1360379,3868.38000000,3971.00000000,3803.56000000,3829.96000000,373727.85490000,1452752901.39764800,1037769,474.50000000,484.70000000,423.00000000,465.80000000,1040477.57100000,490585492.10440000,718791
2021-10-17,60875.57000000,61718.39000000,58963.00000000,61528.33000000,39099.24124000,2371696294.79730550,1331655,3829.96000000,3919.19000000,3640.00000000,3846.85000000,368898.98310000,1406207658.84076800,1025324,465.80000000,472.40000000,454.20000000,470.90000000,890609.84900000,414577714.95900000,546483
2021-10-18,61528.32000000,62695.78000000,59844.45000000,62009.84000000,51798.44844000,3195091233.42055270,1629184,3847.00000000,3893.14000000,3676.00000000,3744.96000000,401819.97340000,1520728621.31032800,994548,471.00000000,487.60000000,466.40000000,484.90000000,1091006.03100000,518750531.87730000,694852
2021-10-19,62005.60000000,64486.00000000,61322.22000000,64280.59000000,53628.10774400,3370863940.26943662,1755708,3744.96000000,3886.89000000,3732.00000000,3877.03000000,341268.37230000,1300066269.93314200,925015,485.00000000,497.60000000,480.30000000,488.10000000,912494.96900000,445294411.09350000,685710
2021-10-20,64280.59000000,67000.00000000,63481.40000000,66001.41000000,51428.93485600,3362878816.40459238,1823286,3876.98000000,4169.00000000,3828.05000000,4161.15000000,537383.09732000,2149449047.36731050,1766454,488.10000000,505.90000000,481.30000000,501.30000000,946412.94000000,467959376.39720000,693317
2021-10-21,66001.40000000,66639.74000000,62000.00000000,62193.15000000,68538.64537000,4407757970.87975560,2181665,4161.37000000,4375.00000000,4013.13000000,4052.99000000,798566.55805000,3335123440.99821210,2380751,501.30000000,504.90000000,466.00000000,470.90000000,1851835.92900000,900310066.44350000,1225287
2021-10-22,62193.15000000,63732.39000000,60000.00000000,60688.22000000,52119.35886000,3229377744.31142590,1555280,4053.00000000,4167.41000000,3888.00000000,3972.20000000,463222.54280000,1872218697.85109700,1133846,470.90000000,498.00000000,470.70000000,479.30000000,1118876.63800000,541705782.63950000,722480
2021-10-23,60688.23000000,61747.64000000,59562.15000000,61286.75000000,27626.93678000,1686121722.21878240,982103,3972.19000000,4172.00000000,3937.51000000,4167.12000000,326576.96010000,1323345505.75751700,940891,479.30000000,485.70000000,472.60000000,485.50000000,521970.79500000,250907116.86120000,425737
2021-10-24,61286.75000000,61500.00000000,59510.63000000,60852.22000000,31226.57676000,1889694558.95049470,1052085,4167.13000000,4186.57000000,3961.50000000,4082.33000000,350115.83860000,1421627004.33480300,917969,485.50000000,486.50000000,467.80000000,475.80000000,590939.03100000,281745798.08970000,483168
2021-10-25,60852.22000000,63710.63000000,60650.00000000,63078.78000000,36853.83806000,2309339650.10938040,1270453,4082.33000000,4236.00000000,4067.71000000,4220.37000000,347438.65340000,1445430078.54488000,939963,475.80000000,488.60000000,474.70000000,485.10000000,632116.76100000,305600064.91520000,548234
2021-10-26,63078.78000000,63293.48000000,59817.55000000,60328.81000000,40217.50083000,2492606133.31894550,1334460,4220.36000000,4297.00000000,4090.21000000,4131.52000000,414498.15990000,1739912498.46991500,1285913,485.10000000,489.80000000,473.50000000,478.10000000,702610.18400000,340191955.26340000,589181
2021-10-27,60328.81000000,61496.00000000,58000.00000000,58413.44000000,62124.49016000,3688306192.97241780,1913083,4131.52000000,4307.00000000,3909.00000000,3922.00000000,704604.25000000,2874313313.39805800,1872190,478.20000000,486.40000000,435.30000000,448.70000000,1370950.21400000,630367975.44750000,973507
2021-10-28,58413.44000000,62499.00000000,57820.00000000,60575.89000000,61056.35301000,3677629851.05960650,1878275,3921.99000000,4295.00000000,3890.17000000,4286.02000000,626378.50550000,2587268364.26143900,1711575,448.70000000,494.80000000,446.40000000,491.90000000,1523900.00600000,724786890.24030000,1074597
2021-10-29,60575.90000000,62980.00000000,60174.81000000,62253.71000000,43973.90414000,2706090987.30962570,1417344,4286.01000000,4460.47000000,4265.97000000,4418.89000000,559231.07691000,2440933126.04865530,1799386,492.00000000,533.61000000,487.60000000,530.30000000,1411851.43940000,720241822.82567200,1222937
2021-10-30,62253.70000000,62359.25000000,60673.00000000,61859.19000000,31478.12566000,1937860260.43806250,1197748,4418.89000000,4434.06000000,4232.20000000,4322.68000000,340223.06900000,1469664811.93683500,1035476,530.30000000,540.50000000,510.20000000,528.30000000,1095033.12640000,575511112.87632300,1048477
2021-10-31,61859.19000000,62405.30000000,59945.36000000,61299.80000000,39267.63794000,2396556477.34349380,1563417,4322.68000000,4399.14000000,4164.35000000,4287.21000000,412856.28930000,1764886607.68762400,1303438,528.40000000,535.00000000,508.90000000,524.60000000,1018991.81900000,532431987.40440000,914156
